"DIAUS310","Days Inn Austin University Dwt","3105 N I-35","Austin","TX","78722","62.04","SP1","H1K","No","Room with shower - Minimum","King","1","20181223"
"OZAUS181","Super 8 Austin University-dwtn","5526 N Ih-35","Austin","TX","78751","63.0","BAR","PNQ","No","Executive suite","Queen","Unknown","20181223"
"MXAUS113","Motel 6 Austin South Airport","2707 Interregional Hwy S","Austin","TX","78741","63.99","RAC","UD1","No","Suite","Other","Unknown","20181223"
"LQAUS530","La Quinta Inn Austin University Area","5812 I-35 North","Austin","TX","78751","69.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181223"
"LQAUS522","La Quinta Inn Austin Oltorf","1603 East Oltorf","Austin","TX","78741","75.0","RAC","A07","No","Room with bath - Superior","Other","0","20181223"
"MCAUSAPM","Austin Marriott South","4415 South Ih-35","Austin","TX","78744","75.65","S9R","XMI","No","unknown","Other","Unknown","20181223"
"LQAUS478","La Quinta Inn Austin South I-35","4200 I-35 South","Austin","TX","78745 1202","79.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181223"
"OMAUSSTH","Omni Austin At Southpark Hotel","4140 Governors Row","Austin","TX","78744","80.0","AR1","DKA","No","Room with bath - Minimum","Other","Unknown","20181223"
"RCAUSRAR","Residence Inn Airport Marriott","3201 Caseybridge Court","Austin","TX","78744","84.0","RAC","XMI","No","unknown","Other","Unknown","20181223"
"MTAUS007","Microtel Inn And Suites By Wyn","7705 Metro Center Drive","Austin","TX","78744","84.0","RAC","NQ1","No","Non-smoking","Other","Unknown","20181223"
"XVAUSSTS","Springhill Stes South Marriott","4501 S Ih-35","Austin","TX","78744","84.15","S9R","XMI","No","unknown","Other","Unknown","20181223"
"OZAUS079","Super 8 Austin North-universit","8128 N. Interstate 35","Austin","TX","78753","89.1","AAA","QQ1","No","unknown","Other","Unknown","20181223"
"OZAUS887","Super 8 Austin Downtown","1201 North I-35","Austin","TX","78702","90.0","AAA","NQ1","No","Non-smoking","Other","Unknown","20181223"
"XVAUSSNS","Springhill Stes Nwest Marriott","10936 Stonlake Boulevard","Austin","TX","78759","93.0","RAC","XMI","No","unknown","Other","Unknown","20181223"
"LQAUS177","La Quinta Inn Ste Austin Sw","4424 South Mopac Expressway","Austin","TX","78735","105.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181223"
"TOAUSTST","Towneplace Stes Tech Marriott","12427 Tech Ridge Boulevar","Austin","TX","78753","110.0","S9R","XMI","No","unknown","Other","Unknown","20181223"
"LQAUS907","La Quinta Inn Austin Capitol Downtown","300 East 11th Street","Austin","TX","78701","125.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181223"
"LQAUS186","La Quinta Inn Ste Austin Airport","7625 E Ben White Blvd","Austin","TX","78741","125.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181223"
"BWAUS735","Best Western Plus Austin Centr","919 East Koenig Lane","Austin","TX","78751","135.99","DB6","W2D","No","Room at weekend rate","Double","2","20181223"
"RCAUSWER","Residence Inn Aus Sw Marriott","6000 Us Hwy 290 West","Austin","TX","78735","143.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181223"
